StudentID,EnrollmentDate,Department,Semester,GPA,Gender,Age
ST0001,2024-08-02,Computer Science,First Semester,3.48,Male,21
ST0002,2021-10-13,Education,First Semester,3.35,Male,27
ST0003,2023-05-15,Computer Science,First Semester,2.19,Male,26
ST0004,2024-05-17,Computer Science,Summer,2.4,Female,21
ST0005,2023-07-09,Engineering,Second Semester,3.62,Male,30
ST0006,2025-07-09,Information Technology,Summer,2.85,Female,20
ST0007,2022-03-17,Business,First Semester,2.19,Male,23
ST0008,2025-10-02,Business,Summer,2.53,Male,29
ST0009,2023-07-30,Engineering,First Semester,3.95,Female,19
ST0010,2024-02-05,Business,Summer,3.24,Female,27
ST0011,2022-01-29,Education,First Semester,2.09,Male,30
ST0012,2022-08-16,Computer Science,First Semester,3.73,Female,22
ST0013,2023-07-18,Education,Second Semester,2.33,Female,21
ST0014,2024-10-04,Business,Summer,3.87,Male,27
ST0015,2024-07-24,Information Technology,Summer,3.46,Male,25
ST0016,2023-02-17,Business,Summer,3.38,Male,28
ST0017,2022-10-27,Computer Science,First Semester,3.64,Female,24
ST0018,2022-07-03,Computer Science,First Semester,3.83,Female,21
ST0019,2024-09-04,Accounting,Second Semester,3.77,Female,20
ST0020,2022-06-27,Information Technology,First Semester,3.49,Female,29
ST0021,2024-04-12,Accounting,Summer,2.8,Male,20
ST0022,2023-11-10,Accounting,First Semester,3.51,Male,20
ST0023,2024-07-09,Information Technology,Summer,2.84,Male,24
ST0024,2023-02-21,Engineering,Second Semester,3.06,Male,28
ST0025,2025-01-16,Computer Science,Summer,3.77,Female,30
ST0026,2024-08-05,Business,First Semester,2.59,Male,25
ST0027,2021-01-07,Education,Summer,2.53,Male,26
ST0028,2021-08-06,Education,Second Semester,3.68,Male,20
ST0029,2023-02-05,Information Technology,Summer,3.91,Male,27
ST0030,2022-10-26,Accounting,First Semester,2.22,Female,30
ST0031,2022-09-22,Information Technology,First Semester,2.48,Male,19
ST0032,2025-02-07,Accounting,First Semester,3.96,Male,20
ST0033,2024-09-13,Accounting,Summer,2.33,Female,21
ST0034,2024-01-10,Education,Summer,2.4,Female,24
ST0035,2024-10-07,Education,Second Semester,2.88,Female,19
ST0036,2022-05-23,Information Technology,First Semester,2.68,Male,27
ST0037,2022-03-28,Computer Science,First Semester,3.42,Male,21
ST0038,2021-05-19,Computer Science,Second Semester,2.14,Male,22
ST0039,2024-10-02,Accounting,First Semester,3.08,Female,21
ST0040,2025-05-26,Accounting,Second Semester,2.38,Male,28
ST0041,2023-06-02,Business,Second Semester,2.82,Male,28
ST0042,2024-08-31,Education,First Semester,2.12,Female,30
ST0043,2025-10-31,Computer Science,First Semester,2.38,Female,20
ST0044,2023-05-15,Information Technology,Second Semester,2.93,Male,25
ST0045,2025-07-13,Engineering,First Semester,2.1,Male,19
ST0046,2025-03-24,Information Technology,First Semester,2.81,Female,21
ST0047,2025-11-06,Accounting,First Semester,2.33,Male,24
ST0048,2022-06-28,Accounting,Second Semester,2.85,Female,20
ST0049,2022-01-24,Business,First Semester,3.94,Male,29
ST0050,2022-10-05,Computer Science,First Semester,3.17,Male,18
ST0051,2023-11-07,Computer Science,First Semester,2.14,Male,28
ST0052,2025-11-01,Information Technology,Second Semester,2.24,Male,27
ST0053,2024-05-02,Computer Science,Summer,2.16,Female,22
ST0054,2022-02-23,Education,Summer,2.63,Female,24
ST0055,2021-09-26,Education,Summer,2.6,Female,30
ST0056,2021-05-29,Computer Science,Second Semester,3.24,Male,19
ST0057,2024-01-07,Information Technology,Summer,2.53,Female,19
ST0058,2025-12-06,Information Technology,Second Semester,2.57,Female,26
ST0059,2024-12-11,Business,Summer,3.97,Male,28
ST0060,2025-08-01,Engineering,Second Semester,3.86,Male,20
ST0061,2022-06-26,Computer Science,First Semester,3.48,Male,22
ST0062,2022-08-01,Engineering,First Semester,3.44,Male,28
ST0063,2024-07-22,Business,Summer,2.98,Male,19
ST0064,2024-07-23,Accounting,Second Semester,2.09,Female,30
ST0065,2021-09-25,Education,Second Semester,2.32,Female,26
ST0066,2024-12-16,Accounting,Summer,2.02,Male,29
ST0067,2021-11-02,Engineering,First Semester,3.67,Male,24
ST0068,2021-09-19,Computer Science,Second Semester,2.73,Male,23
ST0069,2022-03-07,Education,First Semester,3.33,Female,30
ST0070,2024-02-21,Accounting,Summer,3.5,Male,20
ST0071,2025-06-27,Information Technology,Second Semester,2.05,Female,30
ST0072,2023-04-24,Education,Summer,3.62,Female,20
ST0073,2025-06-01,Education,First Semester,2.77,Male,25
ST0074,2022-04-01,Information Technology,Second Semester,2.7,Male,21
ST0075,2021-02-18,Education,First Semester,2.8,Female,19
ST0076,2025-05-03,Business,Second Semester,3.28,Female,28
ST0077,2025-09-24,Engineering,Second Semester,3.88,Male,22
ST0078,2022-01-01,Engineering,Second Semester,2.08,Female,23
ST0079,2025-02-01,Business,Second Semester,3.21,Male,24
ST0080,2024-03-26,Information Technology,Second Semester,2.09,Female,18
ST0081,2023-12-01,Engineering,Summer,3.44,Male,23
ST0082,2023-06-03,Computer Science,Summer,3.84,Female,28
ST0083,2025-10-03,Computer Science,Summer,3.8,Female,28
ST0084,2023-04-17,Business,Second Semester,3.39,Male,21
ST0085,2023-05-12,Education,Second Semester,3.35,Male,27
ST0086,2024-03-11,Business,Second Semester,3.1,Male,22
ST0087,2022-08-11,Information Technology,Second Semester,3.57,Female,25
ST0088,2023-06-24,Accounting,Summer,2.43,Female,30
ST0089,2025-06-19,Education,First Semester,3.32,Female,26
ST0090,2024-09-21,Education,Summer,2.67,Male,28
ST0091,2022-09-28,Information Technology,First Semester,2.29,Male,21
ST0092,2023-09-01,Engineering,First Semester,2.91,Male,29
ST0093,2024-11-27,Accounting,Second Semester,2.8,Male,28
ST0094,2024-11-09,Computer Science,First Semester,3.56,Male,20
ST0095,2025-07-05,Education,Summer,2.93,Male,19
ST0096,2023-07-24,Information Technology,Second Semester,3.34,Female,30
ST0097,2025-12-31,Accounting,Summer,3.63,Female,26
ST0098,2023-07-03,Information Technology,Summer,3.72,Female,22
ST0099,2025-03-20,Information Technology,Summer,2.55,Female,28
ST0100,2022-05-05,Business,Second Semester,2.15,Female,21
ST0101,2022-07-11,Business,Second Semester,3.79,Male,20
ST0102,2021-11-05,Information Technology,Second Semester,3.39,Male,19
ST0103,2023-04-30,Accounting,Second Semester,3.09,Female,18
ST0104,2022-02-28,Accounting,Second Semester,3.81,Male,30
ST0105,2024-03-25,Accounting,Second Semester,2.01,Female,22
ST0106,2025-03-24,Accounting,Second Semester,3.08,Male,25
ST0107,2022-03-26,Business,Second Semester,2.97,Female,23
ST0108,2024-10-01,Education,Second Semester,3.45,Female,20
ST0109,2024-06-28,Engineering,First Semester,3.81,Male,19
ST0110,2024-08-09,Accounting,First Semester,3.73,Male,18
ST0111,2022-06-17,Accounting,Second Semester,2.42,Female,23
ST0112,2025-04-08,Accounting,Second Semester,3.5,Female,22
ST0113,2025-09-06,Computer Science,Second Semester,2.04,Male,23
ST0114,2022-04-05,Education,First Semester,3.56,Male,30
ST0115,2021-03-05,Information Technology,First Semester,3.68,Male,21
ST0116,2021-09-16,Accounting,Summer,2.23,Male,25
ST0117,2024-12-03,Business,Second Semester,2.34,Male,30
ST0118,2025-08-05,Information Technology,Second Semester,2.22,Male,22
ST0119,2024-03-25,Education,Second Semester,2.79,Male,19
ST0120,2024-04-27,Education,Summer,2.49,Female,28
ST0121,2024-05-14,Computer Science,Summer,3.57,Female,26
ST0122,2023-05-28,Education,Second Semester,2.14,Female,18
ST0123,2025-10-06,Accounting,Second Semester,2.21,Female,28
ST0124,2025-12-31,Accounting,Summer,2.31,Male,29
ST0125,2023-12-05,Education,Second Semester,3.23,Female,25
ST0126,2023-06-12,Education,Summer,2.54,Male,19
ST0127,2022-07-26,Accounting,First Semester,3.5,Female,23
ST0128,2021-02-28,Accounting,Second Semester,2.36,Male,23
ST0129,2025-06-22,Business,Second Semester,2.56,Female,26
ST0130,2021-01-21,Engineering,First Semester,2.17,Female,25
ST0131,2024-02-12,Information Technology,Summer,2.95,Female,25
ST0132,2025-06-12,Computer Science,First Semester,2.59,Female,29
ST0133,2022-05-14,Business,Summer,3.16,Female,26
ST0134,2023-12-24,Business,Second Semester,3.99,Female,23
ST0135,2024-12-10,Accounting,Second Semester,2.61,Male,19
ST0136,2025-01-17,Information Technology,Second Semester,2.24,Male,21
ST0137,2022-03-20,Education,Second Semester,2.55,Female,19
ST0138,2025-09-02,Information Technology,Second Semester,2.45,Male,22
ST0139,2021-01-29,Education,Summer,2.25,Male,18
ST0140,2024-02-08,Business,Summer,3.89,Female,19
ST0141,2025-11-23,Computer Science,Summer,2.57,Female,25
ST0142,2022-11-29,Information Technology,First Semester,2.5,Female,19
ST0143,2025-08-11,Computer Science,Second Semester,2.98,Male,20
ST0144,2021-11-02,Engineering,Second Semester,2.17,Male,19
ST0145,2024-02-17,Accounting,Summer,3.19,Male,30
ST0146,2023-12-07,Accounting,Second Semester,3.82,Female,27
ST0147,2023-05-29,Business,Summer,3.24,Male,30
ST0148,2022-03-02,Education,First Semester,2.53,Male,20
ST0149,2022-05-07,Information Technology,Summer,2.15,Male,24
ST0150,2023-07-12,Education,Summer,2.94,Male,21
ST0151,2022-08-14,Education,Second Semester,3.41,Female,19
ST0152,2024-11-08,Information Technology,Second Semester,3.58,Male,24
ST0153,2021-08-24,Engineering,First Semester,3.3,Female,20
ST0154,2021-05-27,Computer Science,First Semester,3.59,Female,25
ST0155,2021-09-12,Accounting,Summer,2.61,Female,22
ST0156,2023-10-22,Engineering,Second Semester,2.88,Male,24
ST0157,2025-02-13,Business,Summer,2.5,Male,21
ST0158,2024-10-12,Engineering,Summer,3.9,Female,27
ST0159,2021-03-24,Information Technology,Second Semester,3.04,Female,22
ST0160,2022-01-07,Engineering,Second Semester,3.27,Female,19
ST0161,2023-08-21,Business,Second Semester,2.67,Male,20
ST0162,2022-11-07,Accounting,Summer,2.99,Female,30
ST0163,2024-02-01,Computer Science,Second Semester,2.18,Female,23
ST0164,2021-08-26,Accounting,Summer,3.65,Male,28
ST0165,2025-11-16,Engineering,Second Semester,2.83,Male,26
ST0166,2023-01-11,Engineering,Second Semester,3.25,Male,21
ST0167,2022-07-01,Engineering,First Semester,3.86,Female,29
ST0168,2023-09-20,Computer Science,First Semester,3.95,Male,29
ST0169,2021-11-21,Business,Summer,2.03,Female,19
ST0170,2022-04-06,Computer Science,Second Semester,3.89,Male,25
ST0171,2025-01-07,Business,Summer,3.41,Female,25
ST0172,2023-08-26,Information Technology,Second Semester,3.1,Female,21
ST0173,2024-05-12,Engineering,Summer,3.76,Male,22
ST0174,2025-05-02,Accounting,Second Semester,3.87,Female,18
ST0175,2022-08-03,Education,Second Semester,3.67,Female,20
ST0176,2023-07-04,Engineering,Second Semester,2.69,Female,25
ST0177,2022-10-22,Information Technology,Summer,2.48,Female,21
ST0178,2025-10-20,Accounting,First Semester,2.64,Female,29
ST0179,2025-07-20,Accounting,Second Semester,3.98,Male,25
ST0180,2021-03-17,Information Technology,Summer,3.93,Female,19
ST0181,2025-11-26,Accounting,First Semester,3.05,Female,18
ST0182,2025-01-19,Information Technology,Second Semester,3.74,Male,19
ST0183,2023-08-20,Business,Second Semester,3.25,Female,28
ST0184,2021-06-14,Business,Summer,3.72,Female,23
ST0185,2024-07-07,Education,Second Semester,3.74,Male,27
ST0186,2021-05-21,Information Technology,Summer,3.37,Female,21
ST0187,2025-03-10,Computer Science,Second Semester,3.96,Male,25
ST0188,2021-12-07,Education,Second Semester,3.81,Male,23
ST0189,2025-06-19,Computer Science,Second Semester,2.72,Female,20
ST0190,2022-05-16,Engineering,Second Semester,3.13,Male,20
ST0191,2021-12-25,Computer Science,Summer,3.74,Male,25
ST0192,2024-04-09,Information Technology,First Semester,2.92,Female,25
ST0193,2022-06-07,Education,First Semester,3.8,Female,22
ST0194,2024-10-19,Engineering,First Semester,2.15,Female,27
ST0195,2022-09-05,Education,Second Semester,3.38,Female,22
ST0196,2022-02-12,Accounting,Second Semester,2.21,Female,27
ST0197,2023-01-06,Engineering,Second Semester,3.99,Female,18
ST0198,2025-08-27,Education,Second Semester,2.55,Male,27
ST0199,2025-03-07,Accounting,Second Semester,3.55,Male,27
ST0200,2025-07-01,Business,First Semester,3.27,Female,28
ST0201,2025-03-28,Education,Summer,3.36,Male,28
ST0202,2021-07-18,Education,Summer,2.08,Female,18
ST0203,2024-04-01,Business,Summer,2.26,Female,23
ST0204,2025-03-11,Accounting,First Semester,2.4,Female,26
ST0205,2023-10-25,Business,First Semester,2.51,Female,30
ST0206,2022-08-28,Education,Second Semester,3.61,Female,19
ST0207,2021-10-16,Information Technology,Summer,3.45,Female,30
ST0208,2024-02-16,Business,First Semester,3.58,Male,22
ST0209,2024-01-04,Computer Science,Second Semester,2.74,Female,27
ST0210,2023-02-20,Education,Second Semester,2.22,Male,25
ST0211,2021-02-21,Engineering,Summer,2.66,Male,28
ST0212,2021-05-10,Education,Second Semester,3.82,Female,28
ST0213,2023-04-17,Computer Science,First Semester,2.09,Male,22
ST0214,2023-10-06,Computer Science,First Semester,2.47,Male,24
ST0215,2023-07-19,Business,Summer,3.9,Female,27
ST0216,2025-03-01,Education,First Semester,3.77,Male,25
ST0217,2024-06-14,Accounting,Second Semester,2.07,Female,21
ST0218,2023-06-28,Accounting,First Semester,3.71,Male,28
ST0219,2023-01-23,Engineering,Summer,2.72,Female,22
ST0220,2022-01-24,Computer Science,Second Semester,2.18,Male,28
ST0221,2024-08-02,Engineering,First Semester,2.1,Female,21
ST0222,2021-09-15,Engineering,First Semester,2.14,Male,27
ST0223,2022-03-19,Information Technology,Second Semester,3.55,Male,22
ST0224,2025-10-25,Information Technology,First Semester,3.08,Male,19
ST0225,2024-09-15,Computer Science,First Semester,2.03,Male,27
