Date,Demand_MW
2023-01-01,482.5
2023-01-02,521.77
2023-01-03,536.38
2023-01-04,514.0
2023-01-05,511.27
2023-01-06,497.8
2023-01-07,500.46
2023-01-08,504.57
2023-01-09,530.05
2023-01-10,539.05
2023-01-11,521.45
2023-01-12,513.08
2023-01-13,491.85
2023-01-14,509.3
2023-01-15,522.92
2023-01-16,530.14
2023-01-17,529.08
2023-01-18,533.29
2023-01-19,500.8
2023-01-20,482.93
2023-01-21,514.18
2023-01-22,529.34
2023-01-23,527.68
2023-01-24,526.6
2023-01-25,527.36
2023-01-26,519.17
2023-01-27,508.22
2023-01-28,520.58
2023-01-29,521.72
2023-01-30,543.69
2023-01-31,551.8
2023-02-01,526.89
2023-02-02,518.9
2023-02-03,526.14
2023-02-04,531.47
2023-02-05,536.9
2023-02-06,570.53
2023-02-07,546.79
2023-02-08,540.15
2023-02-09,524.51
2023-02-10,520.71
2023-02-11,523.16
2023-02-12,545.1
2023-02-13,553.87
2023-02-14,576.04
2023-02-15,533.99
2023-02-16,523.22
2023-02-17,524.95
2023-02-18,508.37
2023-02-19,554.32
2023-02-20,543.08
2023-02-21,553.32
2023-02-22,538.92
2023-02-23,523.34
2023-02-24,522.87
2023-02-25,532.03
2023-02-26,535.56
2023-02-27,574.15
2023-02-28,566.76
2023-03-01,549.99
2023-03-02,534.93
2023-03-03,535.31
2023-03-04,543.48
2023-03-05,558.83
2023-03-06,559.71
2023-03-07,570.94
2023-03-08,577.83
2023-03-09,562.49
2023-03-10,555.01
2023-03-11,534.34
2023-03-12,545.6
2023-03-13,582.7
2023-03-14,578.7
2023-03-15,563.2
2023-03-16,571.82
2023-03-17,533.79
2023-03-18,549.29
2023-03-19,543.04
2023-03-20,576.36
2023-03-21,562.36
2023-03-22,568.73
2023-03-23,550.87
2023-03-24,517.35
2023-03-25,546.1
2023-03-26,560.97
2023-03-27,573.92
2023-03-28,575.69
2023-03-29,565.4
2023-03-30,543.51
2023-03-31,528.13
2023-04-01,528.64
2023-04-02,566.72
2023-04-03,599.03
2023-04-04,581.8
2023-04-05,594.28
2023-04-06,559.58
2023-04-07,548.59
2023-04-08,553.52
2023-04-09,567.17
2023-04-10,559.33
2023-04-11,570.2
2023-04-12,563.93
2023-04-13,526.8
2023-04-14,544.41
2023-04-15,543.66
2023-04-16,555.4
2023-04-17,574.96
2023-04-18,575.88
2023-04-19,566.29
2023-04-20,536.71
2023-04-21,519.16
2023-04-22,535.94
2023-04-23,545.7
2023-04-24,553.36
2023-04-25,565.4
2023-04-26,545.82
2023-04-27,557.62
2023-04-28,538.69
2023-04-29,517.05
2023-04-30,552.06
2023-05-01,554.83
2023-05-02,595.75
2023-05-03,551.58
2023-05-04,538.16
2023-05-05,536.63
2023-05-06,529.03
2023-05-07,568.57
2023-05-08,574.3
2023-05-09,586.71
2023-05-10,573.59
2023-05-11,532.36
2023-05-12,522.97
2023-05-13,549.84
2023-05-14,559.93
2023-05-15,551.61
2023-05-16,563.72
2023-05-17,537.04
2023-05-18,533.54
2023-05-19,526.94
2023-05-20,525.65
2023-05-21,521.11
2023-05-22,543.04
2023-05-23,559.99
2023-05-24,536.21
2023-05-25,543.54
2023-05-26,508.41
2023-05-27,509.71
2023-05-28,539.56
2023-05-29,550.11
2023-05-30,549.3
2023-05-31,565.76
2023-06-01,524.56
2023-06-02,520.77
2023-06-03,523.24
2023-06-04,533.33
2023-06-05,540.77
2023-06-06,572.91
2023-06-07,537.27
2023-06-08,537.15
2023-06-09,511.82
2023-06-10,516.27
2023-06-11,524.63
2023-06-12,551.04
2023-06-13,528.87
2023-06-14,551.02
2023-06-15,497.13
2023-06-16,499.44
2023-06-17,508.93
2023-06-18,492.49
2023-06-19,525.25
2023-06-20,530.94
2023-06-21,498.59
2023-06-22,498.96
2023-06-23,478.06
2023-06-24,486.85
2023-06-25,523.32
2023-06-26,524.26
2023-06-27,522.96
2023-06-28,508.58
2023-06-29,482.37
2023-06-30,480.64
2023-07-01,488.13
2023-07-02,510.72
2023-07-03,511.63
2023-07-04,539.02
2023-07-05,513.5
2023-07-06,491.06
2023-07-07,480.71
2023-07-08,496.84
2023-07-09,508.1
2023-07-10,535.45
2023-07-11,524.69
2023-07-12,518.2
2023-07-13,507.46
2023-07-14,468.72
2023-07-15,480.97
2023-07-16,485.71
2023-07-17,510.69
2023-07-18,495.95
2023-07-19,504.67
2023-07-20,475.64
2023-07-21,448.05
2023-07-22,465.59
2023-07-23,469.98
2023-07-24,490.4
2023-07-25,506.07
2023-07-26,496.08
2023-07-27,447.81
2023-07-28,457.75
2023-07-29,456.01
2023-07-30,481.07
2023-07-31,488.45
2023-08-01,501.53
2023-08-02,472.2
2023-08-03,473.59
2023-08-04,450.53
2023-08-05,466.73
2023-08-06,476.04
2023-08-07,504.85
2023-08-08,511.76
2023-08-09,476.19
2023-08-10,498.32
2023-08-11,454.72
2023-08-12,455.71
2023-08-13,462.6
2023-08-14,464.68
2023-08-15,474.13
2023-08-16,466.13
2023-08-17,457.23
2023-08-18,425.1
2023-08-19,426.17
2023-08-20,448.97
2023-08-21,460.05
2023-08-22,459.38
2023-08-23,458.97
2023-08-24,434.75
2023-08-25,441.58
2023-08-26,444.1
2023-08-27,428.63
2023-08-28,464.5
2023-08-29,471.3
2023-08-30,475.41
2023-08-31,440.68
2023-09-01,434.31
2023-09-02,453.14
2023-09-03,469.4
2023-09-04,480.67
2023-09-05,464.57
2023-09-06,481.38
2023-09-07,446.23
2023-09-08,432.36
2023-09-09,443.22
2023-09-10,467.19
2023-09-11,468.89
2023-09-12,468.03
2023-09-13,463.92
2023-09-14,459.27
2023-09-15,414.18
2023-09-16,426.84
2023-09-17,465.26
2023-09-18,458.32
2023-09-19,438.4
2023-09-20,458.65
2023-09-21,423.88
2023-09-22,404.99
2023-09-23,428.44
2023-09-24,435.59
2023-09-25,451.32
2023-09-26,455.19
2023-09-27,459.48
2023-09-28,435.75
2023-09-29,441.47
2023-09-30,435.42
2023-10-01,444.0
2023-10-02,476.12
2023-10-03,481.55
2023-10-04,439.14
2023-10-05,451.12
2023-10-06,429.94
2023-10-07,441.21
2023-10-08,456.16
2023-10-09,493.35
2023-10-10,489.23
2023-10-11,464.41
2023-10-12,432.28
2023-10-13,417.76
2023-10-14,426.55
2023-10-15,447.68
2023-10-16,454.38
2023-10-17,451.38
2023-10-18,464.02
2023-10-19,419.78
2023-10-20,427.44
2023-10-21,412.07
2023-10-22,442.17
2023-10-23,448.35
2023-10-24,463.52
2023-10-25,443.59
2023-10-26,418.88
2023-10-27,430.73
2023-10-28,429.4
2023-10-29,452.13
2023-10-30,502.11
2023-10-31,509.53
2023-11-01,483.17
2023-11-02,461.43
2023-11-03,460.16
2023-11-04,443.13
2023-11-05,467.69
2023-11-06,467.81
2023-11-07,488.15
2023-11-08,472.07
2023-11-09,457.09
2023-11-10,454.98
2023-11-11,461.29
2023-11-12,456.1
2023-11-13,475.13
2023-11-14,492.35
2023-11-15,464.25
2023-11-16,457.5
2023-11-17,445.28
2023-11-18,441.23
2023-11-19,443.16
2023-11-20,475.21
2023-11-21,489.8
2023-11-22,463.85
2023-11-23,441.58
2023-11-24,446.68
2023-11-25,453.85
2023-11-26,467.1
2023-11-27,481.33
2023-11-28,487.13
2023-11-29,475.34
2023-11-30,473.6
2023-12-01,447.38
2023-12-02,449.57
2023-12-03,485.51
2023-12-04,522.16
2023-12-05,532.84
2023-12-06,475.68
2023-12-07,483.72
2023-12-08,472.9
2023-12-09,480.69
2023-12-10,498.75
2023-12-11,499.04
2023-12-12,501.9
2023-12-13,493.03
2023-12-14,479.78
2023-12-15,444.14
2023-12-16,461.69
2023-12-17,471.37
2023-12-18,498.76
2023-12-19,506.82
2023-12-20,490.05
2023-12-21,486.34
2023-12-22,466.15
2023-12-23,489.41
2023-12-24,488.42
2023-12-25,513.79
2023-12-26,510.49
2023-12-27,508.73
2023-12-28,504.2
2023-12-29,484.79
2023-12-30,490.74
2023-12-31,518.28
2024-01-01,538.96
2024-01-02,529.58
2024-01-03,529.57
2024-01-04,486.58
2024-01-05,500.4
2024-01-06,489.29
2024-01-07,526.99
2024-01-08,513.82
2024-01-09,536.83
2024-01-10,513.07
2024-01-11,509.11
2024-01-12,490.05
2024-01-13,526.52
2024-01-14,515.53
2024-01-15,519.04
2024-01-16,539.62
2024-01-17,512.49
2024-01-18,491.24
2024-01-19,499.88
2024-01-20,481.95
2024-01-21,520.77
2024-01-22,534.91
2024-01-23,554.57
2024-01-24,529.95
2024-01-25,526.97
2024-01-26,509.83
2024-01-27,517.0
2024-01-28,532.67
2024-01-29,552.68
2024-01-30,561.01
2024-01-31,553.05
2024-02-01,514.9
2024-02-02,533.66
2024-02-03,528.24
2024-02-04,534.9
2024-02-05,560.59
2024-02-06,557.76
2024-02-07,555.33
2024-02-08,535.43
2024-02-09,514.85
2024-02-10,530.82
2024-02-11,534.67
2024-02-12,562.37
2024-02-13,538.33
2024-02-14,551.71
2024-02-15,526.72
2024-02-16,517.76
2024-02-17,540.88
2024-02-18,538.79
2024-02-19,562.62
2024-02-20,574.61
2024-02-21,570.36
2024-02-22,529.53
2024-02-23,542.26
2024-02-24,527.79
2024-02-25,543.06
2024-02-26,586.65
2024-02-27,571.92
2024-02-28,572.6
2024-02-29,564.94
2024-03-01,561.5
2024-03-02,549.86
2024-03-03,564.43
2024-03-04,579.09
2024-03-05,586.73
2024-03-06,586.36
2024-03-07,538.26
2024-03-08,543.75
2024-03-09,557.03
2024-03-10,571.27
2024-03-11,560.96
2024-03-12,591.07
2024-03-13,569.31
2024-03-14,540.91
2024-03-15,527.89
2024-03-16,535.41
2024-03-17,553.93
2024-03-18,582.91
2024-03-19,567.32
2024-03-20,553.62
2024-03-21,540.5
2024-03-22,537.13
2024-03-23,524.76
2024-03-24,575.57
2024-03-25,580.55
2024-03-26,592.43
2024-03-27,582.44
2024-03-28,562.56
2024-03-29,548.53
2024-03-30,543.7
2024-03-31,569.62
2024-04-01,589.01
2024-04-02,599.53
2024-04-03,593.04
2024-04-04,577.78
2024-04-05,544.44
2024-04-06,556.27
2024-04-07,574.87
2024-04-08,585.92
2024-04-09,600.45
2024-04-10,572.3
2024-04-11,569.05
2024-04-12,540.55
2024-04-13,540.76
2024-04-14,545.39
2024-04-15,582.14
2024-04-16,590.58
2024-04-17,573.87
2024-04-18,545.4
2024-04-19,544.8
2024-04-20,534.42
2024-04-21,569.87
2024-04-22,555.88
2024-04-23,575.58
2024-04-24,554.18
2024-04-25,549.06
2024-04-26,532.64
2024-04-27,547.69
