Date,Temperature_C
2023-01-01,22.56
2023-01-02,25.02
2023-01-03,22.63
2023-01-04,25.91
2023-01-05,26.08
2023-01-06,25.29
2023-01-07,26.03
2023-01-08,26.71
2023-01-09,27.72
2023-01-10,26.0
2023-01-11,29.2
2023-01-12,25.1
2023-01-13,29.55
2023-01-14,24.21
2023-01-15,26.67
2023-01-16,29.61
2023-01-17,28.11
2023-01-18,28.94
2023-01-19,29.38
2023-01-20,29.3
2023-01-21,26.3
2023-01-22,27.05
2023-01-23,28.44
2023-01-24,29.29
2023-01-25,29.46
2023-01-26,28.89
2023-01-27,28.78
2023-01-28,31.66
2023-01-29,29.96
2023-01-30,30.46
2023-01-31,29.62
2023-02-01,29.33
2023-02-02,30.83
2023-02-03,31.91
2023-02-04,32.34
2023-02-05,31.35
2023-02-06,28.77
2023-02-07,32.14
2023-02-08,28.73
2023-02-09,29.48
2023-02-10,30.39
2023-02-11,30.28
2023-02-12,32.96
2023-02-13,32.41
2023-02-14,32.81
2023-02-15,30.96
2023-02-16,32.34
2023-02-17,34.13
2023-02-18,30.53
2023-02-19,31.69
2023-02-20,31.73
2023-02-21,31.19
2023-02-22,33.1
2023-02-23,34.0
2023-02-24,33.43
2023-02-25,33.33
2023-02-26,35.54
2023-02-27,32.22
2023-02-28,33.28
2023-03-01,35.45
2023-03-02,34.61
2023-03-03,31.3
2023-03-04,37.4
2023-03-05,35.32
2023-03-06,35.02
2023-03-07,32.76
2023-03-08,33.05
2023-03-09,36.0
2023-03-10,34.66
2023-03-11,34.36
2023-03-12,35.64
2023-03-13,32.22
2023-03-14,35.25
2023-03-15,34.17
2023-03-16,36.26
2023-03-17,34.45
2023-03-18,33.79
2023-03-19,33.43
2023-03-20,35.61
2023-03-21,32.29
2023-03-22,37.27
2023-03-23,34.76
2023-03-24,35.48
2023-03-25,32.24
2023-03-26,33.56
2023-03-27,39.83
2023-03-28,35.15
2023-03-29,35.76
2023-03-30,32.73
2023-03-31,31.98
2023-04-01,33.76
2023-04-02,36.5
2023-04-03,36.54
2023-04-04,33.57
2023-04-05,34.12
2023-04-06,34.99
2023-04-07,31.44
2023-04-08,35.24
2023-04-09,36.19
2023-04-10,36.34
2023-04-11,35.15
2023-04-12,34.13
2023-04-13,35.11
2023-04-14,34.19
2023-04-15,32.93
2023-04-16,33.94
2023-04-17,34.07
2023-04-18,38.26
2023-04-19,33.55
2023-04-20,34.54
2023-04-21,34.12
2023-04-22,33.05
2023-04-23,34.89
2023-04-24,32.23
2023-04-25,33.33
2023-04-26,34.27
2023-04-27,34.59
2023-04-28,35.63
2023-04-29,35.31
2023-04-30,31.15
2023-05-01,36.64
2023-05-02,33.17
2023-05-03,40.81
2023-05-04,36.25
2023-05-05,32.32
2023-05-06,33.08
2023-05-07,33.92
2023-05-08,36.46
2023-05-09,34.0
2023-05-10,32.22
2023-05-11,33.09
2023-05-12,32.59
2023-05-13,32.61
2023-05-14,33.57
2023-05-15,33.91
2023-05-16,33.19
2023-05-17,30.44
2023-05-18,30.78
2023-05-19,31.68
2023-05-20,31.91
2023-05-21,30.72
2023-05-22,32.71
2023-05-23,30.49
2023-05-24,30.36
2023-05-25,29.82
2023-05-26,31.27
2023-05-27,29.5
2023-05-28,31.55
2023-05-29,30.8
2023-05-30,31.22
2023-05-31,30.06
2023-06-01,29.54
2023-06-02,28.82
2023-06-03,30.44
2023-06-04,31.27
2023-06-05,31.87
2023-06-06,29.4
2023-06-07,27.37
2023-06-08,27.55
2023-06-09,30.06
2023-06-10,29.07
2023-06-11,27.04
2023-06-12,29.5
2023-06-13,31.71
2023-06-14,25.78
2023-06-15,28.63
2023-06-16,27.49
2023-06-17,27.12
2023-06-18,26.07
2023-06-19,22.63
2023-06-20,24.71
2023-06-21,26.76
2023-06-22,24.79
2023-06-23,24.56
2023-06-24,30.17
2023-06-25,24.65
2023-06-26,29.02
2023-06-27,24.31
2023-06-28,24.61
2023-06-29,25.57
2023-06-30,27.2
2023-07-01,26.16
2023-07-02,24.8
2023-07-03,25.92
2023-07-04,27.36
2023-07-05,24.96
2023-07-06,25.12
2023-07-07,21.8
2023-07-08,22.82
2023-07-09,24.72
2023-07-10,26.31
2023-07-11,20.77
2023-07-12,23.74
2023-07-13,24.17
