Date,Passengers
2023-01-01,7783.0
2023-01-02,8689.0
2023-01-03,8683.0
2023-01-04,8021.0
2023-01-05,7706.0
2023-01-06,7848.0
2023-01-07,7169.0
2023-01-08,8058.0
2023-01-09,8887.0
2023-01-10,8597.0
2023-01-11,8330.0
2023-01-12,7946.0
2023-01-13,7959.0
2023-01-14,7669.0
2023-01-15,8197.0
2023-01-16,8688.0
2023-01-17,9352.0
2023-01-18,9044.0
2023-01-19,8306.0
2023-01-20,7877.0
2023-01-21,8083.0
2023-01-22,8722.0
2023-01-23,8725.0
2023-01-24,9282.0
2023-01-25,8491.0
2023-01-26,8112.0
2023-01-27,8115.0
2023-01-28,7783.0
2023-01-29,8528.0
2023-01-30,8871.0
2023-01-31,9126.0
2023-02-01,8310.0
2023-02-02,8013.0
2023-02-03,7920.0
2023-02-04,8379.0
2023-02-05,8645.0
2023-02-06,9166.0
2023-02-07,9436.0
2023-02-08,8814.0
2023-02-09,8542.0
2023-02-10,8016.0
2023-02-11,7963.0
2023-02-12,8715.0
2023-02-13,9392.0
2023-02-14,9476.0
2023-02-15,9096.0
2023-02-16,9071.0
2023-02-17,8365.0
2023-02-18,8608.0
2023-02-19,9343.0
2023-02-20,9119.0
2023-02-21,9299.0
2023-02-22,9544.0
2023-02-23,8528.0
2023-02-24,8382.0
2023-02-25,8718.0
2023-02-26,9163.0
2023-02-27,9816.0
2023-02-28,9892.0
2023-03-01,9493.0
2023-03-02,8614.0
2023-03-03,8614.0
2023-03-04,8644.0
2023-03-05,8794.0
2023-03-06,9822.0
2023-03-07,9825.0
2023-03-08,9357.0
2023-03-09,8789.0
2023-03-10,8279.0
2023-03-11,8682.0
2023-03-12,9213.0
2023-03-13,9429.0
2023-03-14,9951.0
2023-03-15,9181.0
2023-03-16,8461.0
2023-03-17,8775.0
2023-03-18,8608.0
2023-03-19,9137.0
2023-03-20,9469.0
2023-03-21,9436.0
2023-03-22,9687.0
2023-03-23,8782.0
2023-03-24,8930.0
2023-03-25,8879.0
2023-03-26,9126.0
2023-03-27,9443.0
2023-03-28,9632.0
2023-03-29,9213.0
2023-03-30,9353.0
2023-03-31,8645.0
2023-04-01,8959.0
2023-04-02,8945.0
2023-04-03,9703.0
2023-04-04,10018.0
2023-04-05,9390.0
2023-04-06,9141.0
2023-04-07,8392.0
2023-04-08,8450.0
2023-04-09,9266.0
2023-04-10,9581.0
2023-04-11,9898.0
2023-04-12,9046.0
2023-04-13,9060.0
2023-04-14,9108.0
2023-04-15,8695.0
2023-04-16,9171.0
2023-04-17,9664.0
2023-04-18,9367.0
2023-04-19,9494.0
2023-04-20,8561.0
2023-04-21,8465.0
2023-04-22,8909.0
2023-04-23,8975.0
2023-04-24,9684.0
2023-04-25,9894.0
2023-04-26,9415.0
2023-04-27,8556.0
2023-04-28,8430.0
2023-04-29,8995.0
2023-04-30,8658.0
2023-05-01,9468.0
2023-05-02,9518.0
2023-05-03,9318.0
2023-05-04,8912.0
2023-05-05,8749.0
2023-05-06,8477.0
2023-05-07,9152.0
2023-05-08,9546.0
2023-05-09,9645.0
2023-05-10,9100.0
2023-05-11,8480.0
2023-05-12,8122.0
2023-05-13,8294.0
2023-05-14,8965.0
2023-05-15,9508.0
2023-05-16,9522.0
2023-05-17,9009.0
2023-05-18,8945.0
2023-05-19,8548.0
2023-05-20,8274.0
2023-05-21,8634.0
2023-05-22,9279.0
2023-05-23,9606.0
2023-05-24,9079.0
2023-05-25,8586.0
2023-05-26,8092.0
2023-05-27,8325.0
2023-05-28,8994.0
2023-05-29,9090.0
2023-05-30,9265.0
2023-05-31,8945.0
2023-06-01,8413.0
2023-06-02,7731.0
2023-06-03,7736.0
2023-06-04,8358.0
2023-06-05,9047.0
2023-06-06,9221.0
2023-06-07,8661.0
2023-06-08,8503.0
2023-06-09,7856.0
2023-06-10,7985.0
2023-06-11,8392.0
2023-06-12,8907.0
2023-06-13,9118.0
2023-06-14,8766.0
2023-06-15,7913.0
2023-06-16,8053.0
2023-06-17,7625.0
2023-06-18,8309.0
2023-06-19,8687.0
2023-06-20,8628.0
2023-06-21,8478.0
2023-06-22,7804.0
2023-06-23,7622.0
2023-06-24,7783.0
2023-06-25,8445.0
2023-06-26,8661.0
2023-06-27,8573.0
2023-06-28,8271.0
2023-06-29,7836.0
2023-06-30,7482.0
2023-07-01,7850.0
2023-07-02,8286.0
2023-07-03,8383.0
2023-07-04,8441.0
2023-07-05,7694.0
2023-07-06,7554.0
2023-07-07,7123.0
2023-07-08,7343.0
2023-07-09,7941.0
2023-07-10,8346.0
2023-07-11,8400.0
2023-07-12,8101.0
2023-07-13,7495.0
2023-07-14,7215.0
2023-07-15,6625.0
2023-07-16,7666.0
2023-07-17,8147.0
2023-07-18,8196.0
2023-07-19,7876.0
2023-07-20,7520.0
2023-07-21,6916.0
2023-07-22,7572.0
2023-07-23,7719.0
2023-07-24,8030.0
2023-07-25,8086.0
2023-07-26,7767.0
2023-07-27,7061.0
2023-07-28,6882.0
2023-07-29,7054.0
2023-07-30,7565.0
2023-07-31,8015.0
2023-08-01,7942.0
2023-08-02,7371.0
2023-08-03,6982.0
2023-08-04,7096.0
2023-08-05,7052.0
2023-08-06,7398.0
2023-08-07,7624.0
2023-08-08,7876.0
2023-08-09,7283.0
2023-08-10,6887.0
2023-08-11,6607.0
2023-08-12,6684.0
2023-08-13,7401.0
2023-08-14,7379.0
2023-08-15,7590.0
2023-08-16,7149.0
2023-08-17,6641.0
2023-08-18,6574.0
2023-08-19,6331.0
2023-08-20,7257.0
2023-08-21,7512.0
2023-08-22,7677.0
2023-08-23,7390.0
2023-08-24,6705.0
