Date,Unit_Price,Quantity_Sold,Promo_Discount
2026-02-01,25,40,0
2026-02-02,25,42,5
2026-02-03,25,39,0
2026-02-04,25,45,10
2026-02-05,25,48,0
2026-02-06,25,46,0
2026-02-07,25,50,5
2026-02-08,25,55,0
2026-02-09,25,49,10
2026-02-10,25,52,0
2026-02-11,25,58,0
2026-02-12,25,60,5
2026-02-13,25,62,0
2026-02-14,25,70,10
2026-02-15,25,68,0
2026-02-16,25,65,0
2026-02-17,25,72,5
2026-02-18,25,75,0
2026-02-19,25,78,0
2026-02-20,25,74,5
2026-02-21,25,80,0
2026-02-22,25,85,0
2026-02-23,25,83,5
2026-02-24,25,88,0
2026-02-25,25,90,0
2026-02-26,25,95,10
2026-02-27,25,100,0
2026-02-28,25,105,0
