Date,Sales,Items_Sold,Discount_Percent
2026-01-01,1000,20,5
2026-01-02,1200,22,0
2026-01-03,900,18,10
2026-01-04,1500,30,5
2026-01-05,1600,32,0
2026-01-06,1400,28,5
2026-01-07,1700,35,0
2026-01-08,1800,36,0
2026-01-09,1300,25,10
2026-01-10,1900,38,0
2026-01-11,2000,40,0
2026-01-12,1750,34,5
2026-01-13,1600,33,0
2026-01-14,2100,42,0
2026-01-15,2200,45,0
2026-01-16,1800,36,5
2026-01-17,1900,38,0
2026-01-18,2300,46,0
2026-01-19,2400,48,0
2026-01-20,2000,40,5
2026-01-21,2100,41,0
2026-01-22,2500,50,0
2026-01-23,2600,52,0
2026-01-24,2200,44,5
2026-01-25,2300,46,0
2026-01-26,2700,54,0
2026-01-27,2800,56,0
2026-01-28,2400,48,5
2026-01-29,2500,50,0
2026-01-30,3000,60,0
2026-01-31,3200,65,0
