date,sales
2024-01-01,120
2024-01-02,119
2024-01-03,121
2024-01-04,122
2024-01-05,123
2024-01-06,123
2024-01-07,126
2024-01-08,125
2024-01-09,126
2024-01-10,126
2024-01-11,129
2024-01-12,128
2024-01-13,130
2024-01-14,131
2024-01-15,132
2024-01-16,131
2024-01-17,133
2024-01-18,134
2024-01-19,135
2024-01-20,135
2024-01-21,138
2024-01-22,137
2024-01-23,138
2024-01-24,138
2024-01-25,141
2024-01-26,140
2024-01-27,142
2024-01-28,143
2024-01-29,144
2024-01-30,143
2024-01-31,145
2024-02-01,146
2024-02-02,145
2024-02-03,147
2024-02-04,148
2024-02-05,149
2024-02-06,148
2024-02-07,150
2024-02-08,151
2024-02-09,152
2024-02-10,152
2024-02-11,155
2024-02-12,154
2024-02-13,155
2024-02-14,155
2024-02-15,158
2024-02-16,157
2024-02-17,159
2024-02-18,160
2024-02-19,161
2024-02-20,160
2024-02-21,162
2024-02-22,163
2024-02-23,164
2024-02-24,164
2024-02-25,167
2024-02-26,166
2024-02-27,167
2024-02-28,167
2024-02-29,170
2024-03-01,169
2024-03-02,169
2024-03-03,172
2024-03-04,171
2024-03-05,172
2024-03-06,172
2024-03-07,175
2024-03-08,174
2024-03-09,176
2024-03-10,177
2024-03-11,178
2024-03-12,177
2024-03-13,179
2024-03-14,180
2024-03-15,181
2024-03-16,181
2024-03-17,184
2024-03-18,183
2024-03-19,184
2024-03-20,184
2024-03-21,187
2024-03-22,186
2024-03-23,188
2024-03-24,189
2024-03-25,190
2024-03-26,189
2024-03-27,191
2024-03-28,192
2024-03-29,193
2024-03-30,193
2024-03-31,196
2024-04-01,195
2024-04-02,194
2024-04-03,196
2024-04-04,197
2024-04-05,198
2024-04-06,198
2024-04-07,201
2024-04-08,200
2024-04-09,201
2024-04-10,201
2024-04-11,204
2024-04-12,203
2024-04-13,205
2024-04-14,206
2024-04-15,207
2024-04-16,206
2024-04-17,208
2024-04-18,209
2024-04-19,210
2024-04-20,210
2024-04-21,213
2024-04-22,212
2024-04-23,213
2024-04-24,213
2024-04-25,216
2024-04-26,215
2024-04-27,217
2024-04-28,218
2024-04-29,219
2024-04-30,218
2024-05-01,220
2024-05-02,221
2024-05-03,222
2024-05-04,222
2024-05-05,225
2024-05-06,224
2024-05-07,225
2024-05-08,225
2024-05-09,228
2024-05-10,227
2024-05-11,229
2024-05-12,230
2024-05-13,231
2024-05-14,230
2024-05-15,232
2024-05-16,233
2024-05-17,234
2024-05-18,234
2024-05-19,237
2024-05-20,236
2024-05-21,237
2024-05-22,237
2024-05-23,240
2024-05-24,239
2024-05-25,241
2024-05-26,242
2024-05-27,243
2024-05-28,242
2024-05-29,244
2024-05-30,245
2024-05-31,246
2024-06-01,246
2024-06-02,247
2024-06-03,248
2024-06-04,247
2024-06-05,249
2024-06-06,250
2024-06-07,251
2024-06-08,251
2024-06-09,254
2024-06-10,253
2024-06-11,254
2024-06-12,254
2024-06-13,257
2024-06-14,256
2024-06-15,258
2024-06-16,259
2024-06-17,260
2024-06-18,259
2024-06-19,261
2024-06-20,262
2024-06-21,263
2024-06-22,263
2024-06-23,266
2024-06-24,265
2024-06-25,266
2024-06-26,266
2024-06-27,269
2024-06-28,268
2024-06-29,270
2024-06-30,271
