student_registration_dataset_1200
student_ID,Department,Gender,Registration_date,Tuition_Fee
S0001,Business Administration,Male,2024-07-17,35000
S0002,Mathematics,Male,2023-07-29,63000
S0003,Business Administration,Female,2023-03-07,21000
S0004,Business Administration,Male,2024-04-21,52000
S0005,Computer Science,Male,2026-01-21,46000
S0006,Mathematics,Female,2026-04-21,37000
S0007,Computer Science,Male,2025-05-15,41000
S0008,Physics,Male,2024-03-16,68000
S0009,Biology,Male,2023-07-09,44000
S0010,Business Administration,Female,2024-12-05,58000
S0011,Physics,Male,2025-07-29,54000
S0012,Business Administration,Female,2023-06-11,55000
S0013,Physics,Female,2026-03-28,32000
S0014,Business Administration,Male,2024-04-11,69000
S0015,Physics,Male,2024-04-21,75000
S0016,Business Administration,Female,2024-07-23,49000
S0017,Biology,Male,2025-01-28,42000
S0018,Mathematics,Female,2023-05-27,58000
S0019,Engineering,Male,2023-12-01,49000
S0020,Economics,Female,2026-02-14,34000
S0021,Biology,Male,2024-04-14,72000
S0022,Computer Science,Female,2025-04-01,37000
S0023,Business Administration,Male,2026-03-07,76000
S0024,Biology,Male,2025-10-19,45000
S0025,Information Technology,Male,2024-06-26,28000
S0026,Mathematics,Female,2026-04-12,47000
S0027,Economics,Female,2024-03-25,28000
S0028,Information Technology,Male,2023-04-07,75000
S0029,Business Administration,Male,2023-11-24,70000
S0030,Economics,Male,2025-02-27,44000
S0031,Information Technology,Female,2026-02-07,75000
S0032,Computer Science,Male,2026-01-04,68000
S0033,Physics,Female,2023-08-17,38000
S0034,Economics,Male,2025-07-18,20000
S0035,Physics,Male,2025-11-05,78000
S0036,Business Administration,Female,2025-11-05,58000
S0037,Mathematics,Male,2025-02-04,68000
S0038,Engineering,Male,2026-05-11,40000
S0039,Information Technology,Male,2023-08-18,79000
S0040,Biology,Female,2024-05-05,23000
S0041,Mathematics,Male,2023-06-25,66000
S0042,Information Technology,Male,2025-12-26,69000
S0043,Engineering,Male,2025-08-31,80000
S0044,Engineering,Female,2025-12-16,75000
S0045,Economics,Male,2026-01-09,68000
S0046,Mathematics,Female,2025-03-28,62000
S0047,Biology,Female,2025-11-25,48000
S0048,Business Administration,Male,2024-04-05,24000
S0049,Biology,Male,2026-04-19,55000
S0050,Mathematics,Male,2023-01-15,24000
S0051,Computer Science,Male,2023-05-19,77000
S0052,Computer Science,Female,2023-05-26,52000
S0053,Mathematics,Female,2025-09-21,33000
S0054,Engineering,Female,2024-05-12,70000
S0055,Information Technology,Female,2024-01-25,26000
S0056,Business Administration,Female,2024-12-26,47000
S0057,Economics,Female,2023-04-21,63000
S0058,Business Administration,Male,2025-04-04,66000
S0059,Biology,Male,2024-05-24,32000
S0060,Mathematics,Female,2023-10-15,47000
S0061,Engineering,Female,2025-08-05,35000
S0062,Business Administration,Female,2026-02-01,26000
S0063,Computer Science,Male,2023-07-11,79000
S0064,Mathematics,Male,2025-04-12,51000
S0065,Information Technology,Male,2025-04-01,77000
S0066,Computer Science,Male,2025-02-15,20000
S0067,Economics,Female,2025-07-20,38000
S0068,Economics,Female,2023-11-14,32000
S0069,Physics,Male,2023-04-30,57000
S0070,Computer Science,Female,2023-04-28,23000
S0071,Information Technology,Male,2023-04-27,52000
S0072,Business Administration,Male,2023-05-21,58000
S0073,Business Administration,Male,2025-04-06,27000
S0074,Mathematics,Male,2023-06-17,46000
S0075,Biology,Female,2024-02-23,62000
S0076,Biology,Male,2024-06-27,45000
S0077,Engineering,Female,2025-07-25,40000
